,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_FC:contrast_subj.S16,-0.006261715806662679,0.006673584698725273,-0.019453784463035653,-0.010292888919552599,-0.006463280483339776,-0.0021002399175648213,0.007326553843323778,0.00036007197138512463
t_FC:contrast_subj.S2,-0.009324630240501413,0.007666120011189579,-0.026922922443680376,-0.013687541858017252,-0.008408964851087043,-0.004709812021980763,0.004264834782380114,0.00039564552579705425
t_FC:contrast_subj.S3,-0.0055340820326774875,0.007084853579783109,-0.01897235339573132,-0.009819550214390984,-0.006086522836892965,-0.001227928524991432,0.009472511917816655,0.0003740046868422114
t_FC:contrast_subj.S4,-0.006556805924214981,0.007031174228564044,-0.020487422938399523,-0.010649229606491766,-0.006668232281152417,-0.0022932906044717555,0.007749192207860273,0.0003687943419341283
t_FC:contrast_subj.S5,-0.0052033610662194415,0.007487288093876147,-0.019146495025481124,-0.009650193193618262,-0.005958103658942539,-0.0008706961167979678,0.010794694442896165,0.0003786274269580392
t_FC:contrast_subj.S6,-0.01001340021336715,0.008188349045132758,-0.029744780061189725,-0.014518566591870483,-0.008905370233627825,-0.005128516088180313,0.0041470358144620354,0.00040921772051220374
t_FC:contrast_subj.S7,-0.004986092838841057,0.007363301489333817,-0.018591572112060223,-0.00937431656493251,-0.005795408411191555,-0.0006595593141043282,0.010921249535053171,0.00037574234125164525
t_FC:contrast_subj.S8,-0.008818541240622627,0.007442480942397573,-0.02571282478400542,-0.013040680162085302,-0.00805674371396706,-0.004326838066939204,0.004767986816653733,0.00037842331281059304
t_FC:contrast_subj.S9,-0.005361763365112635,0.007062947093165494,-0.019127530598471845,-0.009766324699415775,-0.005946429172824352,-0.0010383394033207302,0.009278701855105511,0.00036729572672386946
t_SAT:FC:contrast,0.011541736860235444,0.00670458204926763,-0.001097471021237858,0.007000502154433393,0.011320648769386758,0.015899641228485403,0.024951521113925703,0.0004862425465916206
t_SAT:FC:contrast_std,0.00652656365236231,0.004976130168032087,0.0003380935990598849,0.0025454322894696456,0.0055895064125230445,0.00941897434149197,0.01819725735152423,0.00031052938548555166
t_SAT:FC:contrast_subj.S1,0.01198795901074551,0.008618100754666992,-0.004982173064333968,0.006522240704744063,0.01162755608746907,0.017589955069109185,0.029722745775358307,0.0004754583680423965
t_SAT:FC:contrast_subj.S10,0.011991044581675181,0.008221748395769895,-0.004868981780861925,0.006838737280846703,0.011746773415545086,0.01743172206760106,0.0287067431285739,0.00046373808279505103
t_SAT:FC:contrast_subj.S11,0.011585892370965498,0.008789129625750649,-0.005885090609729686,0.0061506691991686305,0.011185991926122239,0.01719715105514418,0.03031237918835515,0.00047033982044078867
t_SAT:FC:contrast_subj.S12,0.016445563497095483,0.009192671566643246,0.001264975951065844,0.009766180703795611,0.015530162174340105,0.021882698678827354,0.037530986086781015,0.0005214957306111265
t_SAT:FC:contrast_subj.S13,0.010394184620474855,0.008969871416871505,-0.008958966775689147,0.005220969057129172,0.010529777692061846,0.016059470493644923,0.028163664763804837,0.0005343304103297183
t_SAT:FC:contrast_subj.S14,0.007974831840998963,0.009928425354571382,-0.014744986974454526,0.002550299884119025,0.008873622688290833,0.014441602523546516,0.025158985531010238,0.0005699333711910395
t_SAT:FC:contrast_subj.S15,0.011352119047429592,0.009482645375179467,-0.008184304024092644,0.00576551931442966,0.01109869573083179,0.01724194283760208,0.03099030749894121,0.0004820727323212782
t_SAT:FC:contrast_subj.S16,0.010803668054099538,0.00916411974241751,-0.008763515296805587,0.005448065336219192,0.010776239448799935,0.01669842238294454,0.02912627757669102,0.0005072692012681372
t_SAT:FC:contrast_subj.S2,0.011765472462241544,0.009069997619554016,-0.00685854132105479,0.006227820251728078,0.011583625233745221,0.017431334982746134,0.030287963450022805,0.0004847736126328423
t_SAT:FC:contrast_subj.S3,0.01535857026469045,0.009280519399533506,-0.00035066559783155727,0.009085747649294306,0.014543900179855997,0.020736865600608903,0.0358060784605793,0.0004982164678088363
t_SAT:FC:contrast_subj.S4,0.0077422088676715834,0.009739175605698747,-0.014406154822938149,0.002581186369071921,0.008624840028820212,0.01403048577442717,0.02458976734764573,0.0005511025972161973
t_SAT:FC:contrast_subj.S5,0.010018638428305266,0.010065954343119935,-0.012512581207195932,0.004540913061680979,0.010369427718147365,0.016350336249319794,0.028915632830495343,0.0005295535549715058
t_SAT:FC:contrast_subj.S6,0.00955315702343481,0.009535280221073675,-0.011735672641308273,0.004295275632474083,0.009934946416222838,0.01565510352614088,0.02709798544454732,0.0005107014571169482
t_SAT:FC:contrast_subj.S7,0.011200493117483275,0.009316326230618944,-0.008074387044108046,0.005811674834255164,0.011060100543757896,0.01699695112379274,0.029977000147158792,0.0004874204185528545
t_SAT:FC:contrast_subj.S8,0.012525991749309651,0.009071772201320103,-0.005433492825244648,0.006761448269471677,0.012151781592737047,0.01836472236939176,0.03141784782713033,0.0004900350318761532
