,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_contrast_std,0.016778357913619535,0.004566797649915509,0.00962007740480697,0.013578226983203922,0.016153167516021166,0.019314000090046225,0.027406490901771725,0.0001469505828351886
t_contrast_subj.S1,0.0019089170639987859,0.006102896639824108,-0.010214558502293105,-0.002163755188001909,0.002001033253407867,0.005960005663282451,0.013798248844491965,0.0001451567344243329
t_contrast_subj.S10,0.004537654044249599,0.005910633293540334,-0.007202389037278356,0.0005827563001379602,0.004515605866357662,0.008501136130265145,0.016136454796844606,0.00013184435467778377
t_contrast_subj.S11,-0.0005200516105687471,0.005806960645283687,-0.011911463438024957,-0.004322370385259567,-0.00039706791141200725,0.003421730586661037,0.010770375889079253,0.00011344804605761016
t_contrast_subj.S12,0.016775351982942836,0.008268654612626847,0.0013196132180270284,0.010898591606376243,0.01667434595504264,0.022329256221857302,0.033334533084087806,0.0003890147901633152
t_contrast_subj.S13,-0.012225669789678099,0.0069626438766150125,-0.026337644342537218,-0.01686001739212606,-0.011989943768976642,-0.0074882875053223115,0.0007660151865301508,0.00025127404913407973
t_contrast_subj.S14,-0.0024376011722524312,0.006663383223669591,-0.015732424851456386,-0.006870156476375228,-0.0025352139868185693,0.0020526788017694274,0.01080576772823839,0.00015479059659102056
t_contrast_subj.S15,-0.012826585386244494,0.007148882944896313,-0.027260507565985272,-0.017535028629926487,-0.012702167138049114,-0.008017695331062885,0.0010530778096345672,0.00011967843204358868
t_contrast_subj.S16,-0.009749523562771282,0.005672355154511713,-0.02128639687451804,-0.013464794537614675,-0.009558821592838643,-0.005919342174636955,0.0009593634344565276,0.00011793104109842025
t_contrast_subj.S2,-0.012441976705328461,0.006800466958251216,-0.026146102349795627,-0.01685646818893801,-0.012344265003783906,-0.007817132440025826,0.000516423213605996,0.00017242501939912128
t_contrast_subj.S3,0.005671060341858314,0.007235151778752849,-0.008056633973600433,0.0006844821988681374,0.005534749119248044,0.010532697943816699,0.020234136870893163,0.00021947934462325934
t_contrast_subj.S4,-0.00251455206286399,0.006885474282350527,-0.01685003726151607,-0.007050602585711135,-0.0022065535470303186,0.0021832078376701793,0.010189044624140768,0.00018473398311801248
t_contrast_subj.S5,-0.011470970680324117,0.008056095544180762,-0.02765258706190287,-0.016738770634786612,-0.011281610982589736,-0.005922313417840393,0.0037540631390724985,0.0001507064895034725
t_contrast_subj.S6,0.008775410986160704,0.006958112310281737,-0.004822490831897005,0.004188460869672091,0.008760635207100829,0.01347025554456567,0.022637268982317615,0.000130774769613606
t_contrast_subj.S7,-0.013601295141778701,0.008098245676235629,-0.03014386592300113,-0.0189246965263014,-0.013325416249094762,-0.007963932230298721,0.0016613488066169954,0.00021938410001790527
t_contrast_subj.S8,0.039749433448135675,0.008475141653258939,0.0236594344534143,0.03383231285816044,0.039606016480484424,0.04541864963780989,0.056635061418959874,0.000299905752638298
t_contrast_subj.S9,0.0011137861992665137,0.006469531620356188,-0.012157485051300654,-0.0031801601401350195,0.0012039041870696753,0.0055728153009310276,0.013268092377261698,0.0001624198498846932
t_SAT:FC,-0.0013848079142742404,0.005598143729110505,-0.012778464402781596,-0.004933765851261696,-0.0013124217585239256,0.002118775722357426,0.00953653730302377,0.00011101765959958582
t_SAT:FC_std,0.01936822377538441,0.004959589644658097,0.011530960912079113,0.015924132753358754,0.018746290872571285,0.022129461076200188,0.030839446844874302,0.00014614372940363718
t_SAT:FC_subj.S1,0.010493681224804256,0.00794452403066853,-0.005145463816221829,0.00508177143463337,0.010516600887712287,0.015785538577751446,0.026071877177046746,0.0002820994276973469
t_SAT:FC_subj.S10,-0.007563405158993004,0.00713156242989527,-0.02145299280671971,-0.012472130238367341,-0.007489958762735085,-0.0027004864806974196,0.006018114214811444,0.00019305765538952694
t_SAT:FC_subj.S11,0.006198587822659699,0.007860545044355424,-0.00956048221581316,0.0009046397479072696,0.006277901542937676,0.011546668813479924,0.02143556843173261,0.00020319689570130742
t_SAT:FC_subj.S12,0.01007662641636413,0.007028024653646254,-0.0035135696863046687,0.00525037263501716,0.01003136248876966,0.014830657447803153,0.023963794664639666,0.00024199779506243858
t_SAT:FC_subj.S13,0.004986442367419764,0.007709078703423867,-0.009897132066157785,-0.00019843117544009583,0.004904225341709416,0.01012133214502075,0.02038974205716331,0.00035769148898929024
t_SAT:FC_subj.S14,-0.043945819786732905,0.008786398097965586,-0.061177523591194244,-0.04990732690238034,-0.04393329542953557,-0.03793982857281708,-0.02684412323890301,0.0003998373806563695
t_SAT:FC_subj.S15,0.014326098180046503,0.010085539684641456,-0.0053662981371453014,0.007522107362122633,0.014184125436336868,0.021130736699322247,0.034749828670550834,0.0002472941403649028
t_SAT:FC_subj.S16,-0.012833170028281429,0.0082851985672358,-0.029534944198167982,-0.01821988550282019,-0.012743217971075582,-0.007189556408833654,0.0030180335951132155,0.0002273880702908064
t_SAT:FC_subj.S2,0.023715886920775763,0.008893480753411873,0.006234836828953556,0.017613637290318982,0.02376992256029227,0.029819450054489684,0.04111629525156797,0.0002775566603995883
t_SAT:FC_subj.S3,-0.004148276715334741,0.00783727020992073,-0.019320307068089716,-0.009407351230095083,-0.004169856329172949,0.0011532180661596864,0.011391375043982558,0.00023571579731117157
t_SAT:FC_subj.S4,-0.0032027731502926983,0.008554858079217947,-0.019737199587702963,-0.008914521693368363,-0.0031740378563163904,0.0024987134935451384,0.013639153111609306,0.0002722177252587134
t_SAT:FC_subj.S5,-0.013338080706835847,0.010505542970396164,-0.03409726524313568,-0.020197438153189008,-0.013100674928245244,-0.006151002992325905,0.006657818785718368,0.00025973993892545435
