,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
221,19,0.2162,speed,,,t0,data_S9.csv,0.0
222,20,0.3373,speed,,,szr,data_S9.csv,0.0
223,21,-0.1795,speed,1.0,right,v,data_S9.csv,0.0
224,22,-0.1434,speed,2.0,right,v,data_S9.csv,0.0
225,23,3.3452,speed,4.0,right,v,data_S9.csv,0.0
226,24,-2.373,speed,3.0,left,v,data_S9.csv,0.0
227,25,-3.9802,speed,4.0,left,v,data_S9.csv,0.0
228,26,-0.4741,speed,1.0,left,v,data_S9.csv,0.0
229,27,-1.1131,speed,2.0,left,v,data_S9.csv,0.0
230,28,4.9683,speed,5.0,right,v,data_S9.csv,0.0
231,29,-5.026,speed,5.0,left,v,data_S9.csv,0.0
232,1,0.5357,,,,zr,data_S2.csv,0.0
233,2,0.8492,speed,,,a,data_S2.csv,0.0
234,3,0.7687,speed,2.0,right,v,data_S2.csv,0.0
235,4,0.1997,speed,,,t0,data_S2.csv,0.0
236,5,0.6222,speed,,,szr,data_S2.csv,0.0
237,6,0.2757,,,,sv,data_S2.csv,0.0
238,7,0.0857,,,,st0,data_S2.csv,0.0
239,8,-0.0838,speed,2.0,left,v,data_S2.csv,0.0
240,9,0.1188,speed,1.0,right,v,data_S2.csv,0.0
241,10,4.2754,speed,4.0,right,v,data_S2.csv,0.0
242,11,2.1984,speed,3.0,right,v,data_S2.csv,0.0
243,12,7.4889,speed,5.0,right,v,data_S2.csv,0.0
244,13,-0.9676,speed,3.0,left,v,data_S2.csv,0.0
245,14,0.2736,speed,1.0,left,v,data_S2.csv,0.0
246,15,-2.4539,speed,4.0,left,v,data_S2.csv,0.0
247,16,-4.0564,speed,5.0,left,v,data_S2.csv,0.0
248,17,1.066,accuracy,,,a,data_S2.csv,0.0
249,18,0.8956,accuracy,2.0,right,v,data_S2.csv,0.0
250,19,0.2303,accuracy,,,t0,data_S2.csv,0.0
251,20,0.261,accuracy,,,szr,data_S2.csv,0.0
252,21,5.4307,accuracy,5.0,right,v,data_S2.csv,0.0
253,22,-4.2013,accuracy,4.0,left,v,data_S2.csv,0.0
254,23,1.9552,accuracy,3.0,right,v,data_S2.csv,0.0
255,24,3.8369,accuracy,4.0,right,v,data_S2.csv,0.0
256,25,-3.0383,accuracy,3.0,left,v,data_S2.csv,0.0
257,26,-0.2263,accuracy,2.0,left,v,data_S2.csv,0.0
258,27,0.5886,accuracy,1.0,right,v,data_S2.csv,0.0
259,28,-0.3857,accuracy,1.0,left,v,data_S2.csv,0.0
260,29,-5.0829,accuracy,5.0,left,v,data_S2.csv,0.0
261,1,0.525,,,,zr,data_S4.csv,0.0001
262,2,0.9916,speed,,,a,data_S4.csv,0.0001
263,3,6.2395,speed,4.0,right,v,data_S4.csv,0.0001
264,4,0.196,speed,,,t0,data_S4.csv,0.0001
265,5,0.2888,speed,,,szr,data_S4.csv,0.0001
266,6,0.6791,,,,sv,data_S4.csv,0.0001
267,7,0.0235,,,,st0,data_S4.csv,0.0001
