,level_0,value,SAT,p_right,stimulus,parameter,participant,fit
145,2,0.5312,speed,50.0,,zr,data_S7.csv,0.0
146,3,0.875,speed,70.0,,zr,data_S7.csv,0.0
147,4,0.25,accuracy,30.0,,zr,data_S7.csv,0.0
148,5,0.7188,accuracy,70.0,,zr,data_S7.csv,0.0
149,6,0.5313,accuracy,50.0,,zr,data_S7.csv,0.0
150,7,0.9469,speed,,,a,data_S7.csv,0.0
151,8,-2.0481,,,left,v,data_S7.csv,0.0
152,9,0.2972,speed,,,t0,data_S7.csv,0.0
153,10,0.2208,speed,,,szr,data_S7.csv,0.0
154,11,0.6746,,,,sv,data_S7.csv,0.0
155,12,0.2523,,,,st0,data_S7.csv,0.0
156,13,2.0005,,,right,v,data_S7.csv,0.0
157,14,0.9387,accuracy,,,a,data_S7.csv,0.0
158,15,0.3786,accuracy,,,t0,data_S7.csv,0.0
159,16,0.2559,accuracy,,,szr,data_S7.csv,0.0
160,1,0.3667,speed,30.0,,zr,data_S17.csv,0.0
161,2,0.5,speed,50.0,,zr,data_S17.csv,0.0
162,3,0.632,speed,70.0,,zr,data_S17.csv,0.0
163,4,0.5,accuracy,50.0,,zr,data_S17.csv,0.0
164,5,0.6666,accuracy,70.0,,zr,data_S17.csv,0.0
165,6,0.2778,accuracy,30.0,,zr,data_S17.csv,0.0
166,7,0.8794,speed,,,a,data_S17.csv,0.0
167,8,-1.9751,,,left,v,data_S17.csv,0.0
168,9,0.2759,speed,,,t0,data_S17.csv,0.0
169,10,0.0088,speed,,,szr,data_S17.csv,0.0
170,11,0.6358,,,,sv,data_S17.csv,0.0
171,12,0.1833,,,,st0,data_S17.csv,0.0
172,13,1.9527,,,right,v,data_S17.csv,0.0
173,14,1.0503,accuracy,,,a,data_S17.csv,0.0
174,15,0.3384,accuracy,,,t0,data_S17.csv,0.0
175,16,0.5556,accuracy,,,szr,data_S17.csv,0.0
176,1,0.5454,speed,50.0,,zr,data_S9.csv,0.0002
177,2,0.5,speed,30.0,,zr,data_S9.csv,0.0002
178,3,0.6363,speed,70.0,,zr,data_S9.csv,0.0002
179,4,0.6176,accuracy,50.0,,zr,data_S9.csv,0.0002
180,5,0.5735,accuracy,30.0,,zr,data_S9.csv,0.0002
181,6,0.4412,accuracy,70.0,,zr,data_S9.csv,0.0002
182,7,0.6706,speed,,,a,data_S9.csv,0.0002
183,8,-1.5033,,,left,v,data_S9.csv,0.0002
184,9,0.2605,speed,,,t0,data_S9.csv,0.0002
185,10,0.2865,speed,,,szr,data_S9.csv,0.0002
186,11,0.7807,,,,sv,data_S9.csv,0.0002
187,12,0.0952,,,,st0,data_S9.csv,0.0002
188,13,0.8066,,,right,v,data_S9.csv,0.0002
189,14,1.978,accuracy,,,a,data_S9.csv,0.0002
190,15,0.5044,accuracy,,,t0,data_S9.csv,0.0002
191,16,0.5397,accuracy,,,szr,data_S9.csv,0.0002
192,1,0.5435,accuracy,70.0,,zr,data_S2.csv,0.0
193,2,0.4348,accuracy,30.0,,zr,data_S2.csv,0.0
194,3,0.4783,accuracy,50.0,,zr,data_S2.csv,0.0
195,4,0.6,speed,50.0,,zr,data_S2.csv,0.0
196,5,0.6,speed,70.0,,zr,data_S2.csv,0.0
197,6,0.6666,speed,30.0,,zr,data_S2.csv,0.0
198,7,1.334,accuracy,,,a,data_S2.csv,0.0
199,8,2.4066,,,right,v,data_S2.csv,0.0
200,9,0.3175,accuracy,,,t0,data_S2.csv,0.0
201,10,0.3656,accuracy,,,szr,data_S2.csv,0.0
202,11,1.182,,,,sv,data_S2.csv,0.0
203,12,0.1275,,,,st0,data_S2.csv,0.0
204,13,-3.0503,,,left,v,data_S2.csv,0.0
205,14,0.8522,speed,,,a,data_S2.csv,0.0
206,15,0.3055,speed,,,t0,data_S2.csv,0.0
207,16,0.5809,speed,,,szr,data_S2.csv,0.0
208,1,0.5714,speed,50.0,,zr,data_S13.csv,0.0
209,2,0.6429,speed,30.0,,zr,data_S13.csv,0.0
210,3,0.4285,speed,70.0,,zr,data_S13.csv,0.0
211,4,0.5417,accuracy,30.0,,zr,data_S13.csv,0.0
212,5,0.4524,accuracy,50.0,,zr,data_S13.csv,0.0
213,6,0.4286,accuracy,70.0,,zr,data_S13.csv,0.0
214,7,0.818,speed,,,a,data_S13.csv,0.0
215,8,2.2822,,,right,v,data_S13.csv,0.0
216,9,0.3199,speed,,,t0,data_S13.csv,0.0
217,10,0.7023,speed,,,szr,data_S13.csv,0.0
218,11,0.4728,,,,sv,data_S13.csv,0.0
219,12,0.1792,,,,st0,data_S13.csv,0.0
