,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
166,22,0.6497,accuracy,2.0,right,v,data_S10_1.csv,0.0009
167,23,2.7599,accuracy,4.0,right,v,data_S10_1.csv,0.0009
168,24,0.5593,accuracy,1.0,right,v,data_S10_1.csv,0.0009
169,25,1.6243,accuracy,3.0,right,v,data_S10_1.csv,0.0009
170,26,-2.4829,accuracy,4.0,left,v,data_S10_1.csv,0.0009
171,27,-0.757,accuracy,3.0,left,v,data_S10_1.csv,0.0009
172,28,-2.614,accuracy,5.0,left,v,data_S10_1.csv,0.0009
173,29,0.1075,accuracy,2.0,left,v,data_S10_1.csv,0.0009
174,1,0.575,,,,zr,data_S2_1.csv,0.0
175,2,0.8756,speed,,,a,data_S2_1.csv,0.0
176,3,0.7488,speed,2.0,right,v,data_S2_1.csv,0.0
177,4,0.2967,speed,,,t0,data_S2_1.csv,0.0
178,5,0.4753,speed,,,szr,data_S2_1.csv,0.0
179,6,0.7799,,,,sv,data_S2_1.csv,0.0
180,7,0.0681,,,,st0,data_S2_1.csv,0.0
181,8,-0.2779,speed,2.0,left,v,data_S2_1.csv,0.0
182,9,-0.0048,speed,1.0,right,v,data_S2_1.csv,0.0
183,10,3.2329,speed,4.0,right,v,data_S2_1.csv,0.0
184,11,1.7877,speed,3.0,right,v,data_S2_1.csv,0.0
185,12,7.1164,speed,5.0,right,v,data_S2_1.csv,0.0
186,13,-1.1202,speed,3.0,left,v,data_S2_1.csv,0.0
187,14,0.2564,speed,1.0,left,v,data_S2_1.csv,0.0
188,15,-2.871,speed,4.0,left,v,data_S2_1.csv,0.0
189,16,-4.1368,speed,5.0,left,v,data_S2_1.csv,0.0
190,17,1.1609,accuracy,,,a,data_S2_1.csv,0.0
191,18,0.9824,accuracy,2.0,right,v,data_S2_1.csv,0.0
192,19,0.3408,accuracy,,,t0,data_S2_1.csv,0.0
193,20,0.3013,accuracy,,,szr,data_S2_1.csv,0.0
194,21,5.4363,accuracy,5.0,right,v,data_S2_1.csv,0.0
195,22,-4.2038,accuracy,4.0,left,v,data_S2_1.csv,0.0
196,23,1.8746,accuracy,3.0,right,v,data_S2_1.csv,0.0
197,24,3.4873,accuracy,4.0,right,v,data_S2_1.csv,0.0
198,25,-2.7438,accuracy,3.0,left,v,data_S2_1.csv,0.0
199,26,-0.2859,accuracy,2.0,left,v,data_S2_1.csv,0.0
200,27,0.5678,accuracy,1.0,right,v,data_S2_1.csv,0.0
201,28,-0.417,accuracy,1.0,left,v,data_S2_1.csv,0.0
202,29,-4.6238,accuracy,5.0,left,v,data_S2_1.csv,0.0
203,1,0.5238,,,,zr,data_S6_1.csv,0.0
204,2,0.9499,speed,,,a,data_S6_1.csv,0.0
205,3,2.8228,speed,4.0,right,v,data_S6_1.csv,0.0
206,4,0.3083,speed,,,t0,data_S6_1.csv,0.0
207,5,0.4516,speed,,,szr,data_S6_1.csv,0.0
208,6,0.613,,,,sv,data_S6_1.csv,0.0
209,7,0.1547,,,,st0,data_S6_1.csv,0.0
210,8,-3.8263,speed,4.0,left,v,data_S6_1.csv,0.0
211,9,-0.7513,speed,1.0,left,v,data_S6_1.csv,0.0
212,10,-0.5009,speed,2.0,right,v,data_S6_1.csv,0.0
213,11,-1.0437,speed,2.0,left,v,data_S6_1.csv,0.0
214,12,4.7464,speed,5.0,right,v,data_S6_1.csv,0.0
215,13,-0.4368,speed,1.0,right,v,data_S6_1.csv,0.0
216,14,1.7425,speed,3.0,right,v,data_S6_1.csv,0.0
217,15,-1.9553,speed,3.0,left,v,data_S6_1.csv,0.0
218,16,-3.3172,speed,5.0,left,v,data_S6_1.csv,0.0
219,17,1.2479,accuracy,,,a,data_S6_1.csv,0.0
220,18,1.2898,accuracy,3.0,right,v,data_S6_1.csv,0.0
221,19,0.3901,accuracy,,,t0,data_S6_1.csv,0.0
222,20,0.1955,accuracy,,,szr,data_S6_1.csv,0.0
223,21,5.123,accuracy,5.0,right,v,data_S6_1.csv,0.0
224,22,-0.8959,accuracy,1.0,left,v,data_S6_1.csv,0.0
225,23,-0.4528,accuracy,2.0,left,v,data_S6_1.csv,0.0
226,24,-3.7752,accuracy,4.0,left,v,data_S6_1.csv,0.0
227,25,-0.0639,accuracy,1.0,right,v,data_S6_1.csv,0.0
228,26,3.6675,accuracy,4.0,right,v,data_S6_1.csv,0.0
229,27,-6.3234,accuracy,5.0,left,v,data_S6_1.csv,0.0
230,28,0.1905,accuracy,2.0,right,v,data_S6_1.csv,0.0
231,29,-1.9209,accuracy,3.0,left,v,data_S6_1.csv,0.0
232,1,0.5,,,,zr,data_S8_1.csv,0.0
233,2,1.4106,accuracy,,,a,data_S8_1.csv,0.0
234,3,-4.439,accuracy,5.0,left,v,data_S8_1.csv,0.0
235,4,0.3821,accuracy,,,t0,data_S8_1.csv,0.0
236,5,0.2293,accuracy,,,szr,data_S8_1.csv,0.0
237,6,0.528,,,,sv,data_S8_1.csv,0.0
238,7,0.1125,,,,st0,data_S8_1.csv,0.0
239,8,1.9626,accuracy,3.0,right,v,data_S8_1.csv,0.0
240,9,3.2856,accuracy,4.0,right,v,data_S8_1.csv,0.0
241,10,-3.5344,accuracy,4.0,left,v,data_S8_1.csv,0.0
242,11,5.0777,accuracy,5.0,right,v,data_S8_1.csv,0.0
243,12,-0.0079,accuracy,1.0,left,v,data_S8_1.csv,0.0
244,13,-1.9715,accuracy,3.0,left,v,data_S8_1.csv,0.0
245,14,-0.307,accuracy,2.0,left,v,data_S8_1.csv,0.0
246,15,0.1999,accuracy,1.0,right,v,data_S8_1.csv,0.0
247,16,1.2535,accuracy,2.0,right,v,data_S8_1.csv,0.0
248,17,0.9003,speed,,,a,data_S8_1.csv,0.0
249,18,-0.1157,speed,2.0,left,v,data_S8_1.csv,0.0
250,19,0.2991,speed,,,t0,data_S8_1.csv,0.0
251,20,0.2491,speed,,,szr,data_S8_1.csv,0.0
252,21,-0.1691,speed,1.0,left,v,data_S8_1.csv,0.0
253,22,0.4319,speed,1.0,right,v,data_S8_1.csv,0.0
254,23,-1.7353,speed,3.0,left,v,data_S8_1.csv,0.0
255,24,3.0,speed,3.0,right,v,data_S8_1.csv,0.0
256,25,-3.9226,speed,5.0,left,v,data_S8_1.csv,0.0
257,26,6.5619,speed,5.0,right,v,data_S8_1.csv,0.0
258,27,-2.4789,speed,4.0,left,v,data_S8_1.csv,0.0
259,28,1.2482,speed,2.0,right,v,data_S8_1.csv,0.0
260,29,3.0244,speed,4.0,right,v,data_S8_1.csv,0.0
261,1,0.5,,,,zr,data_S13_1.csv,0.0001
262,2,1.1245,accuracy,,,a,data_S13_1.csv,0.0001
263,3,0.7058,accuracy,1.0,right,v,data_S13_1.csv,0.0001
264,4,0.3327,accuracy,,,t0,data_S13_1.csv,0.0001
265,5,0.4043,accuracy,,,szr,data_S13_1.csv,0.0001
